Protein	S0	S0	S0	S1	S1	S1	BayesFactor	FoldChange	RBstat	FDR	FLAG
P13639	14700000	15000000	12700000	5826900	4843900	5074400	inf	-0.991	47606726869167567452087421822866321148376894144512.000	0.00000	
P14174	0	0	0	0	0	0	1.000	0.025	0.015	1.00000	
P14618	4927700	5118500	3815900	3396500	2748800	3061500	inf	-0.401	64371961153868122583017278927829131469317455478784.000	0.00000	*
P17987	236900	133650	387300	186000000	189000000	169000000	inf	6.016	72413402043530008320483416729590308185060126228480.000	0.00000	
P18206	2256000	2097300	1002600	356300	668020	615240	inf	-1.131	78018594929297948979978325529414309254480755949568.000	0.00000	
P20290	544720	448520	466660	0	0	341030	inf	-5.767	16666666702917600569637355221953572528799428378624.000	0.00000	
P22314	0	0	0	0	116090	0	94.141	4.274	16666666666666962168450290488880117277286150963200.000	0.00000	
P25398	12300000	13500000	15900000	9807100	12700000	8486100	inf	-0.314	66666666666667848673801161955520469109144603852800.000	0.00000	*
Q9BUQ0	837270	1090600	1069100	734290	507680	547770	1194570391104606160517283375256606985510800238523531381366137375704122598134900070158533759663815956935640695745169470042445621237943846426291403252870306500243033553806135341525570929808460952371200.000	-0.529	29084116138582389410472197966157541743978184966144.000	0.00000	
P30050	756090	613930	888850	787010	695040	545070	69469117078.576	-0.108	27702552606993735183029417237958094999252927250432.000	0.00000	*
P31151	2788400	2012400	0	0	0	0	1676240157127188260763861219552259309830144.000	-5.976	33333333333333924336900580977760234554572301926400.000	0.00000	
P31949	0	0	0	0	0	0	1.000	0.025	0.093	1.00000	
P35754	0	0	0	0	0	0	1.000	0.025	0.030	1.00000	
P46060	0	0	0	0	0	0	1.000	0.025	0.032	1.00000	
P48643	0	0	0	0	0	0	1.000	0.025	0.033	1.00000	
Q59H77	801220	838360	617780	221000000	257000000	203000000	inf	5.507	58799654004176709463060450080669818525207280746496.000	0.00000	
P50990	5486400	6213000	4762200	247000000	294000000	243000000	inf	3.839	80203173272994573565774278138686792396280051007488.000	0.00000	
P50991	316140	669700	402670	168000000	166000000	145000000	inf	5.566	79430231585691066296376685031193288643991354474496.000	0.00000	
P51148	5627300	5928800	7306500	3236100	3495900	2800200	inf	-0.680	64514134685964005148004735945810100413525162721280.000	0.00000	
P51149	3908200	3831500	3285700	1342800	1180700	1699900	inf	-0.975	39968595076689506516146248156401225480241909071872.000	0.00000	
P61026	2269400	4215200	0	1057400	1608700	1547000	inf	5.931	56178442571086164527503281972928827715053263257600.000	0.00000	
P61088	3804700	3459800	3842900	1995500	1899000	1899400	inf	-0.648	646834675299610539844313676510205919875632726016.000	0.00000	
P61106	0	0	0	0	0	0	1.000	0.025	0.022	1.00000	
P61204	2825200	2823200	2142900	3192000	2376500	2759600	9301323159541438464.000	0.070	50000000000000336121883866774911727599247555559424.000	0.00000	*
P61289-2	5778000	5644700	5755500	3213100	2554200	2895200	inf	-0.696	32997983997991926708113992915005039999252644757504.000	0.00000	
Q5VXS0	0	0	0	0	0	0	1.000	0.025	0.035	1.00000	
P62258	0	0	0	0	53143	0	767.243	3.674	16666666666666962168450290488880117277286150963200.000	0.00000	
P68371	474770	452670	406290	141190	129140	0	inf	-4.736	49999999999999380739261896366628077987922979061760.000	0.00000	
Q01995	4170700	4082900	5722900	2580200	3003700	2162300	inf	-0.585	51067718270429658240947844577093675760827395735552.000	0.00000	
Q02413	556540	637900	367710	0	0	0	inf	-7.655	20271078208800790490980901709810011531491246342144.000	0.00000	
Q06323	8717600	8575200	8698300	5184000	5056100	5162200	inf	-0.524	9016479286107543961600.000	0.00000	
Q07812-2	1511200	1430400	1200200	599580	514420	919090	inf	-0.766	26046642136712676976243268003901977098400445759488.000	0.00000	
Q09666	7172900	6489600	3932600	6692900	9040200	5851200	3536304640779641638366505124191321062299305789177627148311770863448606193027486071485421734589619884973202527845249772523293245440.000	0.239	83333333333324125095316587769141070624985219858432.000	0.00000	*
Q12789	0	0	0	0	0	0	1.000	0.025	0.024	1.00000	
Q12955	0	0	0	0	0	0	1.000	0.025	0.035	1.00000	
Q13748	0	0	0	0	0	145340	0.321	4.247	16666666666666962168450290488880117277286150963200.000	1.00000	
Q13885	0	0	0	0	0	0	1.000	0.025	0.004	1.00000	
Q14966-5	0	0	0	0	0	0	1.000	0.025	0.004	1.00000	
Q15365	26600000	28100000	26400000	14300000	15100000	12200000	inf	-0.677	49999999999999380739261896366628077987922979061760.000	0.00000	
